cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2
272.000,Deciduous,24.000,Trees,EC030,1318.688
273.000,Evergreen,25.000,Trees,EC030,117.381
274.000,Mixed Trees,50.000,Trees,EC030,214.702
275.000,Evergreen,25.000,Trees,EC030,224.070
276.000,Evergreen,25.000,Trees,EC030,158.476
277.000,Evergreen,25.000,Trees,EC030,1244.227
278.000,Deciduous,24.000,Trees,EC030,8480.328
279.000,Mixed Trees,50.000,Trees,EC030,12464.928
280.000,Mixed Trees,50.000,Trees,EC030,2468.927
281.000,Deciduous,24.000,Trees,EC030,169.328
282.000,Evergreen,25.000,Trees,EC030,1193.552
283.000,Evergreen,25.000,Trees,EC030,198.638
284.000,Deciduous,24.000,Trees,EC030,143.601
285.000,Evergreen,25.000,Trees,EC030,175.762
286.000,Evergreen,25.000,Trees,EC030,293.200
287.000,Evergreen,25.000,Trees,EC030,1446.342
288.000,Mixed Trees,50.000,Trees,EC030,132.296
289.000,Deciduous,24.000,Trees,EC030,2577.990
290.000,Deciduous,24.000,Trees,EC030,142.870
291.000,Deciduous,24.000,Trees,EC030,336.540
292.000,Evergreen,25.000,Trees,EC030,182.278
293.000,Evergreen,25.000,Trees,EC030,206.503
294.000,Deciduous,24.000,Trees,EC030,117.943
295.000,Evergreen,25.000,Trees,EC030,144.556
296.000,Evergreen,25.000,Trees,EC030,229.234
297.000,Mixed Trees,50.000,Trees,EC030,111.741
298.000,Evergreen,25.000,Trees,EC030,632.710
299.000,Evergreen,25.000,Trees,EC030,175.148
300.000,Evergreen,25.000,Trees,EC030,800.955
301.000,Deciduous,24.000,Trees,EC030,105.891
302.000,Mixed Trees,50.000,Trees,EC030,148.721
303.000,Deciduous,24.000,Trees,EC030,163.401
304.000,Deciduous,24.000,Trees,EC030,252.420
305.000,Deciduous,24.000,Trees,EC030,590.284
306.000,Deciduous,24.000,Trees,EC030,475.332
307.000,Evergreen,25.000,Trees,EC030,166.963
308.000,Evergreen,25.000,Trees,EC030,166.713
309.000,Deciduous,24.000,Trees,EC030,295.384
310.000,Evergreen,25.000,Trees,EC030,136.802
311.000,Mixed Trees,50.000,Trees,EC030,1576.830
312.000,Mixed Trees,50.000,Trees,EC030,319.423
313.000,Evergreen,25.000,Trees,EC030,116.779
314.000,Evergreen,25.000,Trees,EC030,548.070
315.000,Evergreen,25.000,Trees,EC030,348.769
316.000,Evergreen,25.000,Trees,EC030,113.923
317.000,Deciduous,24.000,Trees,EC030,106.138
318.000,Evergreen,25.000,Trees,EC030,163.611
319.000,Evergreen,25.000,Trees,EC030,144.874
320.000,Evergreen,25.000,Trees,EC030,921.341
321.000,Evergreen,25.000,Trees,EC030,291.564
322.000,Evergreen,25.000,Trees,EC030,334.782
323.000,Evergreen,25.000,Trees,EC030,106.333
324.000,Evergreen,25.000,Trees,EC030,153.124
325.000,Deciduous,24.000,Trees,EC030,3495.694
326.000,Deciduous,24.000,Trees,EC030,167.777
327.000,Evergreen,25.000,Trees,EC030,123.815
328.000,Evergreen,25.000,Trees,EC030,338.956
329.000,Deciduous,24.000,Trees,EC030,315.059
330.000,Deciduous,24.000,Trees,EC030,125.333
331.000,Evergreen,25.000,Trees,EC030,182.258
332.000,Mixed Trees,50.000,Trees,EC030,1209.870
333.000,Evergreen,25.000,Trees,EC030,359.442
334.000,Evergreen,25.000,Trees,EC030,221.004
335.000,Deciduous,24.000,Trees,EC030,126.819
336.000,Evergreen,25.000,Trees,EC030,688.597
337.000,Mixed Trees,50.000,Trees,EC030,322.526
338.000,Evergreen,25.000,Trees,EC030,633.732
339.000,Mixed Trees,50.000,Trees,EC030,5418.863
340.000,Deciduous,24.000,Trees,EC030,938.763
341.000,Deciduous,24.000,Trees,EC030,151.132
342.000,Evergreen,25.000,Trees,EC030,591.156
343.000,Evergreen,25.000,Trees,EC030,150.170
344.000,Evergreen,25.000,Trees,EC030,224.621
345.000,Evergreen,25.000,Trees,EC030,1302.532
346.000,Evergreen,25.000,Trees,EC030,210.795
347.000,Evergreen,25.000,Trees,EC030,701.065
348.000,Mixed Trees,50.000,Trees,EC030,114.341
349.000,Mixed Trees,50.000,Trees,EC030,158.502
350.000,Evergreen,25.000,Trees,EC030,193.633
351.000,Evergreen,25.000,Trees,EC030,500.212
352.000,Deciduous,24.000,Trees,EC030,252.735
353.000,Evergreen,25.000,Trees,EC030,201.409
354.000,Evergreen,25.000,Trees,EC030,184.655
355.000,Evergreen,25.000,Trees,EC030,205.028
356.000,Deciduous,24.000,Trees,EC030,101.444
357.000,Evergreen,25.000,Trees,EC030,2001.342
358.000,Deciduous,24.000,Trees,EC030,144.914
359.000,Deciduous,24.000,Trees,EC030,122.232
360.000,Evergreen,25.000,Trees,EC030,202.937
361.000,Evergreen,25.000,Trees,EC030,352.739
362.000,Evergreen,25.000,Trees,EC030,119.019
363.000,Evergreen,25.000,Trees,EC030,474.792
365.000,Deciduous,24.000,Trees,EC030,431.486
366.000,Mixed Trees,50.000,Trees,EC030,129.151
367.000,Deciduous,24.000,Trees,EC030,149.443
369.000,Mixed Trees,50.000,Trees,EC030,209.794
371.000,Deciduous,24.000,Trees,EC030,203.269
372.000,Mixed Trees,50.000,Trees,EC030,128.775
373.000,Deciduous,24.000,Trees,EC030,352.081
374.000,Mixed Trees,50.000,Trees,EC030,542.491
375.000,Deciduous,24.000,Trees,EC030,432.524
376.000,Evergreen,25.000,Trees,EC030,1843.330
377.000,Mixed Trees,50.000,Trees,EC030,1768.144
378.000,Evergreen,25.000,Trees,EC030,336.134
379.000,Deciduous,24.000,Trees,EC030,1914.195
382.000,Evergreen,25.000,Trees,EC030,133.820
383.000,Mixed Trees,50.000,Trees,EC030,231.055
389.000,Evergreen,25.000,Trees,EC030,172.487
390.000,Evergreen,25.000,Trees,EC030,163.513
394.000,Mixed Trees,50.000,Trees,EC030,623.932
395.000,Evergreen,25.000,Trees,EC030,154.680
398.000,Mixed Trees,50.000,Trees,EC030,266.917
400.000,Mixed Trees,50.000,Trees,EC030,301.285
401.000,Evergreen,25.000,Trees,EC030,283.493
409.000,Evergreen,25.000,Trees,EC030,2134.530
410.000,Mixed Trees,50.000,Trees,EC030,285.650
411.000,Evergreen,25.000,Trees,EC030,998.480
412.000,Mixed Trees,50.000,Trees,EC030,161.021
413.000,Evergreen,25.000,Trees,EC030,1374.518
414.000,Mixed Trees,50.000,Trees,EC030,155.424
415.000,Mixed Trees,50.000,Trees,EC030,259.561
439.000,Evergreen,25.000,Trees,EC030,124.867
441.000,Mixed Trees,50.000,Trees,EC030,160.335
442.000,Evergreen,25.000,Trees,EC030,345.689
