cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2,CLUSTER_ID
375.000,Deciduous,24.000,Trees,EC030,432.524,"4"
376.000,Evergreen,25.000,Trees,EC030,1843.330,"2"
377.000,Mixed Trees,50.000,Trees,EC030,1768.144,"2"
378.000,Evergreen,25.000,Trees,EC030,336.134,"2"
379.000,Deciduous,24.000,Trees,EC030,1914.195,"4"
382.000,Evergreen,25.000,Trees,EC030,133.820,"0"
383.000,Mixed Trees,50.000,Trees,EC030,231.055,"0"
389.000,Evergreen,25.000,Trees,EC030,172.487,"4"
390.000,Evergreen,25.000,Trees,EC030,163.513,"1"
394.000,Mixed Trees,50.000,Trees,EC030,623.932,"1"
395.000,Evergreen,25.000,Trees,EC030,154.680,"1"
398.000,Mixed Trees,50.000,Trees,EC030,266.917,"1"
400.000,Mixed Trees,50.000,Trees,EC030,301.285,"1"
401.000,Evergreen,25.000,Trees,EC030,283.493,"1"
409.000,Evergreen,25.000,Trees,EC030,2134.530,"1"
410.000,Mixed Trees,50.000,Trees,EC030,285.650,"1"
411.000,Evergreen,25.000,Trees,EC030,998.480,"1"
412.000,Mixed Trees,50.000,Trees,EC030,161.021,"1"
413.000,Evergreen,25.000,Trees,EC030,1374.518,"1"
414.000,Mixed Trees,50.000,Trees,EC030,155.424,"1"
415.000,Mixed Trees,50.000,Trees,EC030,259.561,"1"
439.000,Evergreen,25.000,Trees,EC030,124.867,"4"
441.000,Mixed Trees,50.000,Trees,EC030,160.335,"1"
442.000,Evergreen,25.000,Trees,EC030,345.689,"1"
